Id,Campus,Location,County,Year
1,'California State University-Bakersfield','Bakersfield','Kern',1965
2,'California State University-Channel Islands','Camarillo','Ventura',2002
3,'California State University-Chico','Chico','Butte',1887
4,'California State University-Dominguez Hills','Carson','Los Angeles',1960
5,'California State University-East Bay','Hayward','Alameida',1957
6,'Fresno State University','Fresno','Fresno',1911
7,'California State University-Fullerton','Fullerton','Orange',1957
8,'Humboldt State University','Arcata','Humboldt',1913
9,'Long Beach State University','Long Beach','Los Angeles',1949
10,'California State University-Los Angeles','Los Angeles','Los Angeles',1947
11,'California  Maritime Academy','Vallejo','Solano',1929
12,'California State University-Monterey Bay','Seaside','Monterey',1994
13,'California State University-Northridge','Northridge','Los Angeles',1958
14,'California State Polytechnic University-Pomona','Pomona','Los Angeles',1938
15,'California State University-Sacramento','Sacramento','Sacramento',1947
16,'California State University-San Bernardino','San Bernardino','San Bernardino',1960
17,'San Diego State University','San Diego','San Diego',1897
18,'San Francisco State University','San Francisco','San Francisco',1899
19,'San Jose State University','San Jose','Santa Clara',1857
20,'California Polytechnic State University-San Luis Obispo','San Luis Obispo','San Luis Obispo',1901
21,'California State University-San Marcos','San Marcos','San Diego',1989
22,'Sonoma State University','Rohnert Park','Sonoma',1960
23,'California State University-Stanislaus','Turlock','Stanislaus',1957
