Campus,Year,CampusFee
1,1996,1951
3,1996,2042
4,1996,1816
7,1996,1797
5,1996,1818
6,1996,1916
8,1996,1884
9,1996,1824
10,1996,1751
11,1996,2258
12,1996,2009
13,1996,1970
14,1996,1903
15,1996,1950
16,1996,1875
17,1996,1902
18,1996,1978
19,1996,2001
20,1996,2204
21,1996,1720
22,1996,2110
23,1996,1915
1,1997,1951
3,1997,2076
4,1997,1791
7,1997,1812
5,1997,1802
6,1997,1936
8,1997,1923
9,1997,1844
10,1997,1758
11,1997,2294
12,1997,1971
13,1997,1975
14,1997,1903
15,1997,1982
16,1997,1889
17,1997,1932
18,1997,1978
19,1997,2013
20,1997,2228
21,1997,1720
22,1997,2110
23,1997,1915
1,1998,1873
3,1998,2026
4,1998,1813
7,1998,1746
5,1998,1754
6,1998,1858
8,1998,1905
9,1998,1766
10,1998,1679
11,1998,2216
12,1998,1893
13,1998,1892
14,1998,1855
15,1998,1934
16,1998,1825
17,1998,1854
18,1998,1940
19,1998,1935
20,1998,2204
21,1998,1712
22,1998,2032
23,1998,1855
1,1999,1795
3,1999,1990
4,1999,1735
7,1999,1680
5,1999,1700
6,1999,1780
8,1999,1851
9,1999,1700
10,1999,1776
11,1999,2138
12,1999,1815
13,1999,1814
14,1999,1777
15,1999,1862
16,1999,1748
17,1999,1776
18,1999,1936
19,1999,1869
20,1999,2129
21,1999,1634
22,1999,1978
23,1999,1799
1,2000,1795
3,2000,2026
4,2000,1735
7,2000,1725
5,2000,1746
6,2000,1798
8,2000,1861
9,2000,1742
10,2000,1724
11,2000,2138
12,2000,1855
13,2000,1814
14,2000,1795
15,2000,1874
16,2000,1733
17,2000,1776
18,2000,1822
19,2000,1857
20,2000,2129
21,2000,1706
22,2000,2002
23,2000,1803
1,2001,1801
3,2001,2070
4,2001,1825
7,2001,1767
5,2001,1762
6,2001,1849
8,2001,1861
9,2001,1744
10,2001,1782
11,2001,2194
12,2001,1855
13,2001,1814
14,2001,1795
15,2001,1887
16,2001,1877
17,2001,1776
18,2001,1826
19,2001,1909
20,2001,2169
21,2001,1796
22,2001,2032
23,2001,1875
1,2002,1801
3,2002,2070
4,2002,1825
7,2002,1767
5,2002,1762
6,2002,1849
8,2002,1861
9,2002,1744
10,2002,1782
11,2002,2194
12,2002,1855
13,2002,1814
14,2002,1795
15,2002,1887
16,2002,1877
17,2002,1776
18,2002,1826
19,2002,1909
20,2002,2169
21,2002,1796
22,2002,2032
23,2002,1875
1,2003,1945
2,2003,1868
3,2003,2258
4,2003,1989
7,2003,1944
5,2003,1940
6,2003,2009
8,2003,2035
9,2003,1888
10,2003,1968
11,2003,2412
12,2003,1999
13,2003,1958
14,2003,1939
15,2003,2035
16,2003,2075
17,2003,2014
18,2003,1970
19,2003,2059
20,2003,2976
21,2003,1940
22,2003,2370
23,2003,2023
1,2004,2707
2,2004,2794
3,2004,3154
4,2004,2771
7,2004,2706
5,2004,2704
6,2004,2804
8,2004,2863
9,2004,2658
10,2004,2849
11,2004,3240
12,2004,2761
13,2004,2778
14,2004,2811
15,2004,2824
16,2004,2906
17,2004,2936
18,2004,2880
19,2004,2958
20,2004,3974
21,2004,2776
22,2004,3408
23,2004,2807
1,2005,3318
2,2005,2980
3,2005,3370
4,2005,2991
7,2005,2916
5,2005,2986
6,2005,2990
8,2005,3167
9,2005,2864
10,2005,3035
11,2005,3446
12,2005,2999
13,2005,3036
14,2005,3006
15,2005,3072
16,2005,3092
17,2005,3122
18,2005,3128
19,2005,3292
20,2005,4245
21,2005,3062
22,2005,3616
23,2005,3030
1,2006,3387
2,2006,2980
3,2006,3412
4,2006,3011
7,2006,2946
5,2006,3039
6,2006,3010
8,2006,3175
9,2006,2864
10,2006,3080
11,2006,3476
12,2006,3002
13,2006,3042
14,2006,3015
15,2006,3282
16,2006,3092
17,2006,3160
18,2006,3166
19,2006,3296
20,2006,4349
21,2006,3092
22,2006,3648
23,2006,3043
