Year,Campus,Degrees

1990,1,701
1991,1,681
1992,1,791
1993,1,801
1994,1,849
1995,1,818
1996,1,804
1997,1,928
1998,1,816
1999,1,959
2000,1,955
2001,1,1086
2002,1,1151
2003,1,1193
2004,1,1243
2002,2,2
2003,2,142
2004,2,346
1990,3,2880
1991,3,3036
1992,3,3026
1993,3,3008
1994,3,2852
1995,3,2678
1996,3,2636
1997,3,2453
1998,3,2677
1999,3,2401
2000,3,2696
2001,3,2943
2002,3,3045
2003,3,3128
2004,3,2724
1990,4,1128
1991,4,1218
1992,4,1471
1993,4,1598
1994,4,1744
1995,4,1693
1996,4,1728
1997,4,1735
1998,4,1806
1999,4,1651
2000,4,1703
2001,4,1746
2002,4,1775
2003,4,1849
2004,4,1716
1990,5,2025
1991,5,1960
1992,5,1976
1993,5,2193
1994,5,2347
1995,5,2257
1996,5,2243
1997,5,2245
1998,5,2201
1999,5,2277
2000,5,2257
2001,5,2450
2002,5,2437
2003,5,2396
2004,5,2419
1990,6,2976
1991,6,3083
1992,6,3137
1993,6,3090
1994,6,2985
1995,6,3042
1996,6,2992
1997,6,2902
1998,6,2725
1999,6,2833
2000,6,2858
2001,6,2909
2002,6,2735
2003,6,2922
2004,6,3069
1990,7,3990
1991,7,4188
1992,7,4289
1993,7,4193
1994,7,3963
1995,7,3936
1996,7,4027
1997,7,4312
1998,7,4121
1999,7,4522
2000,7,4517
2001,7,5239
2002,7,5058
2003,7,5636
2004,7,5761
1990,8,961
1991,8,1140
1992,8,1176
1993,8,1347
1994,8,1311
1995,8,1321
1996,8,1389
1997,8,1386
1998,8,1380
1999,8,1374
2000,8,1398
2001,8,1456
2002,8,1355
2003,8,1376
2004,8,1396
1990,9,4273
1991,9,4674
1992,9,4607
1993,9,4593
1994,9,4232
1995,9,4228
1996,9,3980
1997,9,3874
1998,9,4078
1999,9,4158
2000,9,4352
2001,9,4859
2002,9,5055
2003,9,5194
2004,9,5790
1990,10,1670
1991,10,1985
1992,10,2718
1993,10,2272
1994,10,2391
1995,10,2483
1996,10,2373
1997,10,2368
1998,10,2408
1999,10,2500
2000,10,2489
2001,10,2871
2002,10,2764
2003,10,2638
2004,10,2220
1996,11,74
1997,11,68
1998,11,53
1999,11,69
2000,11,88
2001,11,91
2002,11,104
2003,11,118
2004,11,114
1996,12,68
1997,12,147
1998,12,229
1999,12,232
2000,12,366
2001,12,366
2002,12,433
2003,12,490
2004,12,598
1990,13,4024
1991,13,4095
1992,13,4216
1993,13,4219
1994,13,3961
1995,13,3802
1996,13,3561
1997,13,3783
1998,13,3936
1999,13,3921
2000,13,4387
2001,13,4824
2002,13,5073
2003,13,4944
2004,13,5488
1990,14,2861
1991,14,2860
1992,14,2719
1993,14,2650
1994,14,2685
1995,14,2578
1996,14,2529
1997,14,2767
1998,14,2402
1999,14,2585
2000,14,2763
2001,14,2808
2002,14,2935
2003,14,3200
2004,14,3207
1990,15,3691
1991,15,4178
1992,15,4291
1993,15,4327
1994,15,4030
1995,15,3537
1996,15,3599
1997,15,3734
1998,15,3894
1999,15,3721
2000,15,4087
2001,15,4230
2002,15,4223
2003,15,4557
2004,15,4659
1990,16,1354
1991,16,1481
1992,16,1712
1993,16,1926
1994,16,1923
1995,16,2007
1996,16,1892
1997,16,1955
1998,16,2079
1999,16,2176
2000,16,2097
2001,16,2276
2002,16,2331
2003,16,2531
2004,16,2684
1990,17,5642
1991,17,5532
1992,17,5392
1993,17,5034
1994,17,4752
1995,17,4644
1996,17,4673
1997,17,4783
1998,17,4928
1999,17,5201
2000,17,5083
2001,17,5390
2002,17,5816
2003,17,6181
2004,17,6325
1990,18,3871
1991,18,4170
1992,18,3879
1993,18,3692
1994,18,3659
1995,18,3917
1996,18,3721
1997,18,3799
1998,18,4240
1999,18,3987
2000,18,4098
2001,18,4469
2002,18,4529
2003,18,4574
2004,18,4865
1990,19,3677
1991,19,4012
1992,19,4364
1993,19,4271
1994,19,3975
1995,19,3816
1996,19,4090
1997,19,4021
1998,19,4099
1999,19,3956
2000,19,3951
2001,19,4072
2002,19,3867
2003,19,3854
2004,19,4259
1990,20,2700
1991,20,3401
1992,20,3319
1993,20,3411
1994,20,3080
1995,20,3056
1996,20,2824
1997,20,3146
1998,20,3339
1999,20,3545
2000,20,2840
2001,20,3509
2002,20,3169
2003,20,4677
2004,20,3374
1991,21,81
1992,21,260
1993,21,417
1994,21,552
1995,21,557
1996,21,606
1997,21,644
1998,21,776
1999,21,878
2000,21,1333
2001,21,1087
2002,21,1201
2003,21,1342
2004,21,1459
1990,22,1113
1991,22,1213
1992,22,1396
1993,22,1327
1994,22,1249
1995,22,1318
1996,22,1360
1997,22,1400
1998,22,1446
1999,22,1447
2000,22,1398
2001,22,1541
2002,22,1372
2003,22,1431
2004,22,1598
1990,23,815
1991,23,909
1992,23,926
1993,23,989
1994,23,967
1995,23,1042
1996,23,1044
1997,23,1046
1998,23,1181
1999,23,1210
2000,23,1267
2001,23,1241
2002,23,1282
2003,23,1368
2004,23,1454
