Campus,Discipline,Year,Undergraduate,Graduate
1,4,2004,248,0
1,5,2004,811,73
1,6,2004,199,0
1,7,2004,179,0
1,8,2004,293,422
1,10,2004,164,0
1,11,2004,60,6
1,12,2004,457,35
1,14,2004,1153,6
1,15,2004,244,23
1,17,2004,115,8
1,18,2004,102,7
1,19,2004,501,50
1,20,2004,383,142
1,21,2004,584,32
1,22,2004,514,0
2,4,2004,155,0
2,5,2004,364,0
2,7,2004,72,0
2,10,2004,127,0
2,14,2004,516,0
2,15,2004,117,0
2,17,2004,60,0
2,19,2004,207,0
2,21,2004,84,0
2,22,2004,118,0
3,1,2004,380,0
3,2,2004,0,4
3,3,2004,36,0
3,4,2004,381,27
3,5,2004,2264,46
3,6,2004,762,21
3,7,2004,489,64
3,8,2004,637,181
3,9,2004,1298,25
3,10,2004,836,25
3,11,2004,108,0
3,12,2004,426,60
3,13,2004,113,16
3,14,2004,1275,46
3,15,2004,643,44
3,17,2004,141,0
3,18,2004,130,13
3,19,2004,657,88
3,20,2004,774,108
3,21,2004,1264,107
3,22,2004,1665,0
4,4,2004,267,19
4,5,2004,1502,72
4,6,2004,233,0
4,7,2004,315,0
4,8,2004,152,1535
4,9,2004,0,15
4,10,2004,183,0
4,11,2004,114,0
4,12,2004,882,377
4,13,2004,0,55
4,14,2004,1694,1
4,15,2004,274,148
4,17,2004,127,19
4,18,2004,62,0
4,19,2004,546,147
4,20,2004,669,197
4,21,2004,729,71
4,22,2004,1114,0
5,3,2004,5,0
5,4,2004,459,29
5,5,2004,2675,729
5,6,2004,302,33
5,7,2004,495,222
5,8,2004,221,436
5,9,2004,104,0
5,10,2004,551,17
5,11,2004,28,0
5,12,2004,446,153
5,14,2004,942,16
5,15,2004,296,118
5,17,2004,133,134
5,18,2004,81,29
5,19,2004,850,0
5,20,2004,428,297
5,21,2004,823,140
5,22,2004,874,0
6,1,2004,776,40
6,4,2004,533,43
6,5,2004,2481,119
6,6,2004,378,22
6,7,2004,353,90
6,8,2004,752,500
6,9,2004,1166,55
6,10,2004,735,45
6,11,2004,103,27
6,12,2004,1634,382
6,13,2004,62,128
6,14,2004,2126,11
6,15,2004,662,122
6,17,2004,170,18
