Campus,Year,TotalEnrollment_AY,FTE_AY
1,1956,384,123
1,1957,432,151
1,1958,422,178
1,1959,443,184
1,1960,414,191
1,1961,434,203
1,1962,495,230
1,1963,533,262
1,1964,518,238
1,1965,457,210
1,1966,492,233
1,1967,560,281
1,1968,684,358
1,1969,790,475
1,1970,1036,852
1,1971,1757,1495
1,1972,2263,1941
1,1973,2719,2296
1,1974,2847,2268
1,1975,2982,2295
1,1976,3070,2338
1,1977,3107,2322
1,1978,2927,2239
1,1979,2956,2219
1,1980,3115,2328
1,1981,3220,2358
1,1982,3256,2403
1,1983,3326,2470
1,1984,3501,2547
1,1985,3720,2760
1,1986,4183,3033
1,1987,4494,3312
1,1988,4810,3602
1,1989,5117,3877
1,1990,5300,3845
1,1991,5440,4146
1,1992,5313,4219
1,1993,5178,4158
1,1994,5029,4057
1,1995,5121,4179
1,1996,5256,4394
1,1997,5445,4585
1,1998,5578,4703
1,1999,6059,5108
1,2000,6383,5358
1,2001,7027,5914
1,2002,7577,6410
1,2003,7597,6358
1,2004,7470,6330
2,2002,771,562
2,2003,1606,1312
2,2004,2092,1706
3,1935,680,654
3,1936,640,641
3,1937,628,621
3,1938,754,692
3,1939,847,772
3,1940,806,742
3,1941,654,594
3,1942,464,390
3,1943,284,228
3,1944,314,249
3,1945,478,375
3,1946,950,881
3,1947,1160,1066
3,1948,1254,1113
3,1949,1506,1330
3,1950,1474,1289
3,1951,1328,1142
3,1952,1424,1215
3,1953,1532,1312
3,1954,1848,1619
3,1955,2212,1944
3,1956,2672,2363
3,1957,3068,2699
3,1958,3300,2811
3,1959,3284,2845
3,1960,3329,2873
3,1961,3469,3049
3,1962,3785,3304
3,1963,4111,3607
3,1964,5026,4447
3,1965,5734,5156
3,1966,6426,5835
3,1967,7392,6759
3,1968,8040,7431
3,1969,9114,8712
3,1970,10108,9661
3,1971,10693,10036
3,1972,11671,11112
3,1973,12312,11455
3,1974,12598,11612
3,1975,13138,11875
3,1976,12960,11761
3,1977,13008,11785
3,1978,12938,11706
3,1979,13409,12190
3,1980,13873,12557
3,1981,13975,12581
3,1982,13843,12530
3,1983,13901,12643
3,1984,14029,12668
3,1985,14534,13006
3,1986,14837,13026
3,1987,15274,13331
3,1988,15904,13881
3,1989,16345,14324
3,1990,16209,14241
3,1991,15612,13730
3,1992,14970,13412
3,1993,14482,12876
3,1994,14070,12609
3,1995,13586,12291
3,1996,13731,12477
3,1997,14112,12857
3,1998,14826,13486
3,1999,15105,13645
3,2000,15788,14232
